Region,City,φ,Ηo,Ηw,ĩ,ς,k̅,Pde,P4w
Asia/Oceania,Bangkok,0.105,3.465,3.452,64.6,1.059,2.385,0.36,0.108
Asia/Oceania,Beijing,0.335,3.177,3.206,177.5,1.053,2.985,0.135,0.241
Asia/Oceania,Hanoi,0.01,3.573,3.572,64.4,1.065,2.61,0.246,0.102
Asia/Oceania,Hong Kong,0.012,3.571,3.563,61,1.137,2.932,0.114,0.174
Asia/Oceania,Jakarta,0.167,3.391,3.347,52.8,1.065,2.741,0.175,0.096
Asia/Oceania,Kabul,0.076,3.499,3.51,79.3,1.062,2.673,0.226,0.13
Asia/Oceania,Karachi,0.088,3.485,3.493,71.3,1.032,3.027,0.095,0.216
Asia/Oceania,Kathmandu,0.054,3.523,3.5,63.3,1.071,2.595,0.234,0.089
Asia/Oceania,Kyoto,0.357,3.148,3.229,49.6,1.09,2.887,0.134,0.157
Asia/Oceania,Manila,0.062,3.514,3.484,63.5,1.023,3.141,0.095,0.347
Asia/Oceania,Melbourne,0.34,3.172,3.203,51.9,1.037,3.16,0.06,0.332
Asia/Oceania,Mumbai,0.075,3.499,3.476,68.9,1.081,2.705,0.211,0.136
Asia/Oceania,New Delhi,0.062,3.515,3.491,62.5,1.083,2.696,0.197,0.119
Asia/Oceania,Osaka,0.243,3.298,3.306,51,1.025,3.155,0.069,0.292
Asia/Oceania,Phnom Penh,0.324,3.193,3.235,81.6,1.04,2.784,0.205,0.188
Asia/Oceania,Pyongyang,0.024,3.557,3.568,132.4,1.097,2.524,0.294,0.12
Asia/Oceania,Seoul,0.009,3.573,3.573,53.5,1.048,3.011,0.101,0.205
Asia/Oceania,Shanghai,0.121,3.447,3.433,233,1.04,3.017,0.156,0.317
Asia/Oceania,Singapore,0.005,3.578,3.57,64.7,1.077,2.994,0.11,0.215
Asia/Oceania,Sydney,0.092,3.48,3.431,93.1,1.073,2.674,0.206,0.087
Asia/Oceania,Taipei,0.158,3.402,3.428,73.5,1.068,3.096,0.11,0.305
Asia/Oceania,Tokyo,0.05,3.528,3.529,49.6,1.046,2.95,0.119,0.186
Asia/Oceania,Ulaanbaatar,0.058,3.519,3.463,88.7,1.065,2.486,0.283,0.061
Europe,Amsterdam,0.071,3.504,3.488,65.8,1.08,2.897,0.146,0.205
Europe,Athens,0.041,3.538,3.532,55.5,1.019,3.245,0.056,0.363
Europe,Barcelona,0.108,3.462,3.46,78.1,1.052,3.135,0.078,0.303
Europe,Berlin,0.011,3.572,3.57,113.1,1.04,3.002,0.118,0.259
Europe,Budapest,0.05,3.528,3.516,93,1.032,3.037,0.096,0.231
Europe,Copenhagen,0.029,3.552,3.551,78,1.048,2.881,0.146,0.194
Europe,Dublin,0.024,3.557,3.541,71.5,1.061,2.492,0.279,0.068
Europe,Glasgow,0.047,3.531,3.513,72.3,1.079,2.62,0.238,0.109
Europe,Helsinki,0.006,3.577,3.571,42,1.063,2.348,0.395,0.134
Europe,Kiev,0.014,3.568,3.554,125.1,1.053,2.813,0.164,0.16
Europe,Lisbon,0.023,3.558,3.546,60.8,1.068,2.923,0.108,0.154
Europe,London,0.015,3.566,3.564,70.3,1.061,2.561,0.251,0.07
Europe,Madrid,0.019,3.562,3.553,62.5,1.05,3.079,0.065,0.21
Europe,Moscow,0.007,3.576,3.573,130.5,1.055,2.999,0.074,0.17
Europe,Munich,0.078,3.496,3.482,96,1.046,2.958,0.099,0.2
Europe,Oslo,0.008,3.574,3.564,78,1.095,2.711,0.197,0.113
Europe,Paris,0.016,3.566,3.568,71.5,1.023,3.11,0.05,0.24
Europe,Prague,0.049,3.529,3.513,84.5,1.065,2.807,0.177,0.171
Europe,Reykjavik,0.056,3.522,3.529,63.2,1.071,2.54,0.283,0.117
Europe,Rome,0.005,3.578,3.578,73.7,1.07,2.82,0.161,0.145
Europe,Sarajevo,0.039,3.54,3.558,94.7,1.133,2.522,0.27,0.078
Europe,Stockholm,0.006,3.577,3.568,82,1.091,2.681,0.222,0.141
Europe,Venice,0.017,3.564,3.553,23.2,1.09,2.474,0.3,0.073
Europe,Vienna,0.05,3.528,3.515,90.4,1.043,2.985,0.122,0.244
Europe,Warsaw,0.036,3.544,3.532,90.9,1.043,2.717,0.204,0.16
Latin America,Bogota,0.04,3.539,3.529,58.4,1.044,2.977,0.122,0.234
Latin America,Buenos Aires,0.151,3.411,3.423,104.8,1.011,3.548,0.027,0.576
Latin America,Caracas,0.029,3.551,3.564,95.3,1.148,2.71,0.217,0.145
Latin America,Havana,0.029,3.551,3.552,86.9,1.04,3.13,0.118,0.357
Latin America,Lima,0.278,3.254,3.228,76.7,1.017,3.161,0.04,0.331
Latin America,Mexico City,0.154,3.408,3.406,69.9,1.043,2.977,0.146,0.264
Latin America,Port au Prince,0.028,3.552,3.554,55,1.088,2.495,0.295,0.087
Latin America,Rio de Janeiro,0.014,3.568,3.566,74,1.055,2.804,0.172,0.147
Latin America,Sao Paulo,0.002,3.581,3.58,76,1.05,2.936,0.12,0.176
Middle East/Africa,Baghdad,0.083,3.49,3.498,68.3,1.033,3.043,0.05,0.144
